author_clean,race,gender,log10_hits,count
Adrián Lamo,latino,male,5.025305865,4
Adyashanti,white,male,5.485721426,5
Aerin Lauder,white,female,5.41830129131975,3
Aeschlyus,white,male,3.38560627359831,1
Aeschylus,white,male,6.20139712432045,10
Aeschyluslus,white,male,2.120573931,1
Aeschyulus,white,male,2.44404479591808,1
Afrojack,white,male,6.61278385671974,3
Agatha Bird,white,female,3.31175386105575,3
Agatha Christie,white,female,7.28103336724773,10
Agathon,white,male,6.13672056715641,2
Agis II of Sparta,white,male,3.29225607135648,1
Agnes Bruckner,white,female,5.65224634100332,2
Agnes C. Laut,white,female,4.63447727016073,1
Agnes De Mille,white,female,5.46389298898591,4
Agnes Kamara-umunna,black,female,3.021189,1
Agnes Macphail,white,female,5.48000694295715,3
Agnes Martin,white,female,5.6222140229663,3
Agnes Meyer,white,female,5.029383778,2
Agnes Newton Keith,white,female,4.76863810124761,1
Agnes Obel,white,female,5.72916479,1
Agnes Repplier,white,female,4.92064500140679,9
Agnes Sligh Turnbull,white,female,4.74663419893758,1
Agnes Thornton,white,female,3.97451169273733,1
Agnes Turnbull,white,female,4.25527250510331,1
Agnes Varda,white,female,5.55630250076729,1
Agnetha Faltskog,white,female,6.32428245529769,2
Agostino Scafidi,white,male,3.38738982633873,1
Agyness Deyn,white,female,5.85853719756964,1
Aharon Appelfeld,white,male,5.475671188,1
Ahmad Fuadi,asian,male,5.33645973384853,7
Ahmad ibn Zayn al-Habashi,black,male,2.474216,1
Ahmir Questlove Thompson,black,male,5.22788670461367,4
Ahsan,asian,male,7.418301,1
Ahsan Chaudhary,asian,male,4.789581,1
Ahsan Zahid,asian,male,4.683047,1
Ai Weiwei,asian,male,6.19312459835446,8
Ai Yazawa,asian,female,5.92427928606188,10
Aida Mitsu,asian,male,2.491362,1
Aidan Chambers,white,male,5.1846914308176,9
Aidan Quinn,white,male,5.61804809671209,1
Aidan Turner,white,male,5.9415114326344,1
Aiden Shaw,white,male,4.961895474,2
Aiden Wilson Tozer,white,male,5.03742649794062,1
Aidil Uzaimi,asian,male,2.571709,1
Aidy Bryant,white,female,5.40312052117582,2
Aihebholo-oria Okonoboh,black,male,2.32837960343874,2
Aileen Friedman,white,female,3.97034687623009,1
Aileen Lee,asian,female,4.79934054945358,4
Aimee Agresti,white,female,4.26951294421792,1
Aimee Bender,white,female,4.88930170250631,10
Aimee Byrd,white,female,4.75739602879302,1
Aimee Carter,white,female,5.053078443,9
Aimee Friedman,white,female,4.53781909507327,6
Aimee Garcia,latino,female,5.587711,1
Aimee Liu,asian,female,5.021189,1
Aimee Mann,white,female,5.641474111,8
Aimee Mullins,white,female,4.98677173426625,3
Aimee Semple McPherson,white,female,5.52762990087134,1
Aimee' Bejarano,latino,female,3.045323,1
Aimé Césaire,black,male,6.271842,2
Aimée Dostoyevsky,white,female,3.11727129565576,1
Ainun Annisa,asian,female,3.94743372188705,4
Aisha Mirza,asian,female,4.45636603312904,10
Aisha Tyler,black,female,5.66931688056611,10
Aishwarya Rai Bachchan,asian,female,6.45788189673399,4
Ajahn Chah,asian,male,5.872156,1
Ajahn Po,asian,male,2.40654,1
Ajay,asian,male,8.033424,1
Ajay Antony,asian,male,4.32838,1
Ajay Kumar,asian,male,7.10380372095596,4
Ajeet Pratap Maurya,asian,male,3.214844,1
Ajeet Sharma,asian,male,5.4996870826184,4
Ajit Panicker,asian,male,3.80955971463527,5
Akanksha Agrawal,asian,female,4.975432,1
Akanksha Singh,asian,female,5.96848294855393,3
Akanksha Vir,asian,female,2.862728,1
Akansh Malik,asian,male,3.48995847942483,10
Akash B Chandran,asian,male,3.06069784035361,9
Akash Lakhotia,asian,male,3.13672056715641,10
Akash Paliwal,asian,male,4.143015,1
Akash Patel,asian,male,6.037426,1
Akash lal karotia,asian,male,1.70757,2
Akatsuki no Yona,asian,female,6.075547,1
Akemi G,asian,female,4.10037054511756,10
Akhil Khanna,asian,male,4.294466,1
Akiko Busch,asian,female,4.390935,1
Akilnathan Logeswaran,asian,male,3.97497199429807,10
Akinwale Musa Oluseun,black,male,1,3
Akinwande Oluwasegun,black,male,3.281033,1
Akinwumi jarule,black,male,2.485721,1
Akio Toyoda,asian,male,6.017033,1
Akira Himekawa,asian,female,5.217484,1
Akira Kurosawa,asian,male,6.42813479402879,4
Akira Mizuta Lippit,asian,male,4.212188,1
Akira Sasanuma,asian,male,4.382017,1
Akira Suzuki,asian,male,5.522444,1
Akira Toriyama,asian,male,6.803457,1
Akiva Schaffer,white,male,5.36172783601759,1
Akkineni Nagarjuna,asian,male,5.82542611776782,5
Akong Rinpoche,asian,male,4.966611,1
Akosua Dardaine Edwards,black,female,3.61278385671974,10
Akshay,asian,male,7.778151,1
Akshay Dalvi,asian,male,4.357935,1
Akshay Dubey,asian,male,5.705008,2
Akshay Kumar,asian,male,7.25767857486918,4
Akshay Vasu,asian,male,4.52374646681156,10
Akshay Vijayan,asian,male,4.041393,2
AkshayShinde,asian,male,5.513218,1
Akshit Wadhwa,asian,male,3.029384,1
Akshmala Sharma,asian,female,3.4983105537896,5
